;-3;-2;-1;0;1;2;3
0,5;1,00;1,00;1,00;1,00;1,00;1,00;1,00
0,6;1,00;1,00;1,00;1,20;1,00;1,00;1,00
0,7;1,00;1,00;1,00;1,00;1,00;1,00;1,00
0,8;1,00;1,00;1,00;1,00;1,00;1,00;1,00
0,9;1,00;1,00;1,00;1,00;1,00;1,00;1,00
1,0;1,00;1,00;1,00;1,00;1,00;1,00;1,00
1,1;1,00;1,00;1,00;1,00;1,00;1,00;1,00
1,2;1,00;1,00;1,00;1,00;1,00;1,00;1,00
1,3;1,00;1,00;1,00;1,00;1,00;1,00;1,00
1,4;1,20;1,00;1,20;1,00;1,00;1,00;1,00
1,5;1,00;1,00;1,20;1,00;1,20;1,00;1,00
1,6;1,00;1,20;1,20;1,20;1,00;1,20;1,00
1,7;1,00;1,00;1,00;1,40;1,20;1,20;1,00
1,8;1,00;1,00;1,00;1,20;1,40;1,20;1,00
