;-3;-2;-1;0;1;2;3
0,5;1,20;1,20;1,20;1,20;1,00;1,20;1,00
0,6;1,40;1,20;1,60;1,60;1,20;1,20;1,60
0,7;1,60;1,20;1,40;1,40;1,60;1,60;1,40
0,8;1,40;1,40;1,40;1,40;1,80;1,80;1,40
0,9;1,40;1,40;1,80;1,60;1,40;1,60;1,60
1,0;1,60;1,60;1,40;1,80;2,00;2,20;1,60
1,1;1,40;1,60;1,80;1,80;1,80;1,80;1,80
1,2;2,00;1,40;1,80;1,60;2,20;2,00;1,60
1,3;2,20;1,20;1,40;1,60;1,80;1,80;2,00
1,4;1,80;1,20;1,60;1,80;1,60;1,80;1,60
1,5;1,40;1,40;1,80;1,60;2,00;2,00;1,80
1,6;1,60;1,20;1,40;1,40;1,80;2,00;2,00
1,7;1,60;1,40;1,80;1,80;1,60;1,80;1,80
1,8;1,40;1,40;1,00;1,60;1,60;2,00;1,80
